"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc855f9""}",Tweet_id:1235955987586125827,"created_at:""Fri Mar 06 15:50:45 +0000 2020""","rawtext:""Ethereum Whales Accumulate in Anticipation of ETH 2.0\nhttps://t.co/MdeoG9kdut\n\n#Anticipation #Ethereum""","text:""Ethereum Whales Accumulate in Anticipation of ETH 2.0 ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8565d""}",Tweet_id:1236002643786399744,"created_at:""Fri Mar 06 18:56:08 +0000 2020""","rawtext:""Your Daily Petal"," encore presentation... #computerscience #softwareengineering #fun #excitement https://t.co/rUQovcDScy""","text:""Your Daily Petal"," encore presentation.. ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8565e""}",Tweet_id:1236003295568818182,"created_at:""Fri Mar 06 18:58:44 +0000 2020""","rawtext:""Taking Inventory: From one Student to Another\nby Carly Jacuk https://t.co/Pha2XVNq0V #lawstudents #mentored #expectation https://t.co/AnHo0dq5iG""","text:""Taking Inventory: From one Student to Another by Carly Jacuk ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85663""}",Tweet_id:1236004045187354625,"created_at:""Fri Mar 06 19:01:42 +0000 2020""","rawtext:""Let__ nominate some deserving women ______""","text:""let us nominate some deserving women""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85666""}",Tweet_id:1236005090990780416,"created_at:""Fri Mar 06 19:05:52 +0000 2020""","rawtext:""Average life span of a major league baseball: 7 pitches.  #interesting #didyouknow""","text:""Average life span of a major league baseball: 7 pitches. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85665""}",Tweet_id:1236004794860478467,"created_at:""Fri Mar 06 19:04:41 +0000 2020""","rawtext:""Some exciting #bookmail - How to Save a Life by Liz Fenton &amp; Lisa Steinke is coming out in July! #bookstoreview #soexcited https://t.co/kq7EmvvAYn https://t.co/E6Zst1zQzS""","text:""Some exciting bookmail - How to Save a Life by Liz Fenton &amp; Lisa Steinke is coming out in July! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85667""}",Tweet_id:1236004160841150465,"created_at:""Fri Mar 06 19:02:10 +0000 2020""","rawtext:""Well done @Tracybelfast1 &amp; @CStalfordMLA - social housing is much sought after. Welcoming news for Sandy Row.""","text:""Well done &amp; - social housing is much sought after. Welcoming news for Sandy Row.""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85668""}",Tweet_id:1236005103787806721,"created_at:""Fri Mar 06 19:05:55 +0000 2020""","rawtext:""Packing for mine and Ray's Spring Break!!!\n#familyfirst #family #roadtrip #vacation #workfromhome #amazing #awesome #excited @ Houston County"," Texas https://t.co/dnRcyg0UKm""","text:""Packing for mine and Ray's Spring Break!! familyfirst family roadtrip vacation workfromhome amazing awesome excited @ Houston County"," Texas""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85660""}",Tweet_id:1236003151246958592,"created_at:""Fri Mar 06 18:58:09 +0000 2020""","rawtext:""Let__ nominate some deserving woman __ ____""","text:""let us nominate some deserving woman""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8566a""}",Tweet_id:1236006765562662914,"created_at:""Fri Mar 06 19:12:31 +0000 2020""","rawtext:""Time for some retweets.\n\n#art #digitalart #greatisthits #myartwork""","text:""Time for some retweets. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8566c""}",Tweet_id:1236007427981676551,"created_at:""Fri Mar 06 19:15:09 +0000 2020""","rawtext:""@HBO always gets it right.....\n\nhttps://t.co/CVE2a5IKBI\n\n#Stories #Excited #New #Wonderful #Refreshing #Bold #NewWriting #Entertainment""","text:""always gets it right.. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8566f""}",Tweet_id:1236010211518767104,"created_at:""Fri Mar 06 19:26:13 +0000 2020""","rawtext:""Pretty exciting stuff coming for @IRIC_WC #superheroes #soexcited @WCPS72 https://t.co/M7HsiMGnc1""","text:""Pretty exciting stuff coming for ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85669""}",Tweet_id:1236004071414390784,"created_at:""Fri Mar 06 19:01:49 +0000 2020""","rawtext:""Part one of a REALLY nice #install this morning with a pair of @WilsonAudio Sasha DAW__", @qspire X Reference Rack + a box full of Transparent Cables," any thoughts to what we will be adding soon to get it all up and running? #anticipation #highendaudio #highend #hifi #luxury https://t.co/bvjPFWRloQ""","text:""Part one of a REALLY nice install this morning with a pair of Sasha DAW__", X Reference Rack + a box full of Transparent Cables," any thoughts to what we will be adding soon to get it all up and running? ""}",,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85670""}",Tweet_id:1236010295237193728,"created_at:""Fri Mar 06 19:26:33 +0000 2020""","rawtext:""It's #WorldBookDay__tomorrow! Which of your favourite characters will you come to school dressed as? #books #reading #excited https://t.co/nnHfxd173k""","text:""it is WorldBookDaytomorrow! Which of your favourite characters will you come to school dressed as? ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85672""}",Tweet_id:1236010496597229569,"created_at:""Fri Mar 06 19:27:21 +0000 2020""","rawtext:""Oh"," hey #weekend!  I see you!! __\n.\nWishing you guys THE BEST weekend!!\n.\n.\n.\n__ by @TheWrightPhoto \n.\n.\n.\n#excited #fun #see #bestweekend #letsgo #adventure #explore https://t.co/RvTr1dCxlx""","text:""Oh"," hey weekend! I see you!! . Wishing you guys THE BEST weekend!! . . . by . . . ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85675""}",Tweet_id:1236010817600081921,"created_at:""Fri Mar 06 19:28:37 +0000 2020""","rawtext:""@IAmChrisRamsey My mate managed to bag us a couple of tickets for the Edinburgh date as we missed out on Glasgow #Yas #TooExcited #MissingMyWeddingAnniversaryToSeeYou""","text:""My mate managed to bag us a couple of tickets for the Edinburgh date as we missed out on Glasgow ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85678""}",Tweet_id:1236012177410142210,"created_at:""Fri Mar 06 19:34:01 +0000 2020""","rawtext:""I love creating magic for the screen with this guy! mikealdengoode my partner in cinematic crime!! There are amazing things to come!!! #writing #magic #excited #youreagenius https://t.co/XBbacT4DSr""","text:""I love creating magic for the screen with this guy! mikealdengoode my partner in cinematic crime!! There are amazing things to come!! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8567b""}",Tweet_id:1236012663949258753,"created_at:""Fri Mar 06 19:35:57 +0000 2020""","rawtext:""The only king without a moustache in a deck of cards is the king of hearts. #interesting #didyouknow""","text:""The only king without a moustache in a deck of cards is the king of hearts. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8567d""}",Tweet_id:1236014499045478402,"created_at:""Fri Mar 06 19:43:15 +0000 2020""","rawtext:""What a beautiful beginning to the day! #sunrise #gratitude #expectation #ThursdayThoughts #ThursdayMotivation #thursdayvibes #thursdaymorning https://t.co/wQj0GSmnjm""","text:""What a beautiful beginning to the day! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8567c""}",Tweet_id:1236014741044293633,"created_at:""Fri Mar 06 19:44:12 +0000 2020""","rawtext:""Taking my daughter to see @RyanHurd in a couple of weeks"," then again in August when he comes back with @MarenMorris ! #KC #allthelove #soexcited""","text:""Taking my daughter to see in a couple of weeks"," then again in August when he comes back with ! ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8567f""}",Tweet_id:1236014871633899520,"created_at:""Fri Mar 06 19:44:44 +0000 2020""","rawtext:""It was a moment of pink"," floral beauty -- exquisite moments in which she prepared for The Evening Ahead -- https://t.co/WQjkRtDa6a\n#anticipation #floral #romance #romantic #pink #datenight #date #flowers #bedroom #bedroomdecor #art #artwork #framedart https://t.co/uA3zP5GCbw""","text:""It was a moment of pink"," floral beauty -- exquisite moments in which she prepared for The Evening Ahead -- ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85681""}",Tweet_id:1236016937332699136,"created_at:""Fri Mar 06 19:52:56 +0000 2020""","rawtext:""I'm not sure where women go to learn to argue"," but that place is awesome! _う_う_ぃ\n#interesting""","text:""I am not sure where women go to learn to argue"," but that place is awesome! ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85680""}",Tweet_id:1236016270341963777,"created_at:""Fri Mar 06 19:50:17 +0000 2020""","rawtext:""The footings are in concrete and the footprint is down. It__ been fascinating this week watching the many different machines do their work. Next week the steel goes in and the building starts to take shape #excitement  #itshappening #uptonsixthform https://t.co/36cnw8EHRQ""","text:""The footings are in concrete and the footprint is down. it is been fascinating this week watching the many different machines do their work. Next week the steel goes in and the building starts to take shape ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85687""}",Tweet_id:1236020016711192582,"created_at:""Fri Mar 06 20:05:10 +0000 2020""","rawtext:""Just woke up bout to dive into @LILUZIVERT #goodday #excited""","text:""Just woke up bout to dive into ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85694""}",Tweet_id:1236020097447325697,"created_at:""Fri Mar 06 20:05:30 +0000 2020""","rawtext:""LITERALLY""","text:""LITERALLY""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85697""}",Tweet_id:1236020099791773696,"created_at:""Fri Mar 06 20:05:30 +0000 2020""","rawtext:""pause""","text:""pause""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856a6""}",Tweet_id:1236020184735010817,"created_at:""Fri Mar 06 20:05:50 +0000 2020""","rawtext:""2/3 @StirUni panoramic views of our stunning campus from the main gym floor #soexcited @CathyTyrone https://t.co/m4sxNaCIvd""","text:""2/3 panoramic views of our stunning campus from the main gym floor ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856a9""}",Tweet_id:1236020191919656960,"created_at:""Fri Mar 06 20:05:52 +0000 2020""","rawtext:""Turtles can breathe through their butts. #interesting #didyouknow""","text:""Turtles can breathe through their butts. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856ac""}",Tweet_id:1236020214330003459,"created_at:""Fri Mar 06 20:05:57 +0000 2020""","rawtext:""a pause""","text:""a pause""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856b1""}",Tweet_id:1236020256948342784,"created_at:""Fri Mar 06 20:06:08 +0000 2020""","rawtext:""aye pause""","text:""aye pause""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856b4""}",Tweet_id:1236020264401604614,"created_at:""Fri Mar 06 20:06:09 +0000 2020""","rawtext:""Sir I__ waiting for you now""","text:""Sir I am waiting for you now""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856ba""}",Tweet_id:1236020369724772352,"created_at:""Fri Mar 06 20:06:34 +0000 2020""","rawtext:""Woah cuzzo _ you gay?""","text:""Woah cuzzo you gay?""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856be""}",Tweet_id:1236020413810921472,"created_at:""Fri Mar 06 20:06:45 +0000 2020""","rawtext:""SAY PAUSE RN!!!!!! https://t.co/BVG14KPYFM""","text:""SAY PAUSE RN!!""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856c3""}",Tweet_id:1236020450574118912,"created_at:""Fri Mar 06 20:06:54 +0000 2020""","rawtext:""P.A.U.S.E""","text:""P.A.you.S.E""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856d2""}",Tweet_id:1236020700483325952,"created_at:""Fri Mar 06 20:07:53 +0000 2020""","rawtext:""PAUSE""","text:""PAUSE""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc856dc""}",Tweet_id:1236020837976870919,"created_at:""Fri Mar 06 20:08:26 +0000 2020""","rawtext:""When yo album coming negro""","text:""When yo album coming negro""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85776""}",Tweet_id:1236021031866961920,"created_at:""Fri Mar 06 20:09:12 +0000 2020""","rawtext:""We NEED COLLAB""","text:""We NEED COLLAB""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85797""}",Tweet_id:1236021103669260290,"created_at:""Fri Mar 06 20:09:29 +0000 2020""","rawtext:""Sameeee just woke up type shit""","text:""Same just woke up type shit""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc857a1""}",Tweet_id:1236021138494492672,"created_at:""Fri Mar 06 20:09:38 +0000 2020""","rawtext:""Me waking up this morning:""","text:""Me waking up this morning:""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc857a5""}",Tweet_id:1236021146715181056,"created_at:""Fri Mar 06 20:09:40 +0000 2020""","rawtext:""This was the mood this morning""","text:""This was the mood this morning""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc857ae""}",Tweet_id:1236021185038647296,"created_at:""Fri Mar 06 20:09:49 +0000 2020""","rawtext:""Make your life #interesting.""","text:""Make your life ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc857e0""}",Tweet_id:1236021459883089921,"created_at:""Fri Mar 06 20:10:54 +0000 2020""","rawtext:""Collab""","text:""Collab""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85816""}",Tweet_id:1236438414238593024,"created_at:""Sat Mar 07 23:47:44 +0000 2020""","rawtext:""In this format"," a log-linear relationship  is possible: \n\nlog[Y]= log [f(Cu) + f(Ed)+f(ME)]""","text:""In this format"," a log-linear relationship is possible: log[Y]= log [f(Cu) + f(Ed)+f(ME)]""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8581a""}",Tweet_id:1236442981638406145,"created_at:""Sun Mar 08 00:05:53 +0000 2020""","rawtext:""No word in the English language rhymes with 'MONTH.' #interesting #didyouknow""","text:""No word in the English language rhymes with 'MONTH.' ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85819""}",Tweet_id:1236441922677477376,"created_at:""Sun Mar 08 00:01:41 +0000 2020""","rawtext:""Just spent the whole afternoon at @buybuyBABY learning about all the must have things for baby bean. Doing research online was super overwhelming"," but going to a store and working with a specialist was so helpful __ #momlife #expecting #motherhood #momtobe""","text:""Just spent the whole afternoon at learning about all the must have things for baby bean. Doing research online was super overwhelming"," but going to a store and working with a specialist was so helpful ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8581c""}",Tweet_id:1236448560645799936,"created_at:""Sun Mar 08 00:28:03 +0000 2020""","rawtext:""What makes this even more delicious is EYE was told it's a bitch move to depend on screens. But now that the best screen and roller on the team is gone and Harden is relegated to off ball"," he seems less effective. That's very #interesting.""","text:""What makes this even more delicious is EYE was told it is a bitch move to depend on screens. But now that the best screen and roller on the team is gone and Harden is relegated to off ball"," he seems less effective. that is very ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8581e""}",Tweet_id:1236452908390133760,"created_at:""Sun Mar 08 00:45:20 +0000 2020""","rawtext:""RT @SSultrie:\nHave you #read the #LostLunason Series yet? It's full of #excitinggoodness! A heartbroken #woman is #determined to rekindle an old #relationship"," and she meets some #interesting people along the way! The complete series is #free with #KU!\n\nhttps://t.co/dL3hYlpilz https://t.co/ewxBgItgc0""","text:""RT : Have you read the LostLunason Series yet? it is full of excitinggoodness! A heartbroken woman is determined to rekindle an old relationship"," and she meets some interesting people along the way! The complete series is free with ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8581d""}",Tweet_id:1236452359271788545,"created_at:""Sun Mar 08 00:43:09 +0000 2020""","rawtext:""Omg! The movie The Nightingale is on the youtubes!! For free!! \nI can__ believe it!! ____________ #soexcited \nhttps://t.co/wfsn4b1FiX""","text:""Omg! The movie The Nightingale is on the youtubes!! For free!! I can not believe it!! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8581f""}",Tweet_id:1236453501321883648,"created_at:""Sun Mar 08 00:47:41 +0000 2020""","rawtext:""@EveryoneInLB District 2 House Party! #endinghomelessness #longbeach #cali #thankyou #praisetheLord #excited https://t.co/BFMom7RRmR""","text:""District 2 House Party! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8581b""}",Tweet_id:1236444389527912448,"created_at:""Sun Mar 08 00:11:29 +0000 2020""","rawtext:""There are so many unexplored and interesting areas of Birmingham","even though I am a Brummie.... I love this car park entrance of crushed cars..... ____#recycling #innovative #interesting #artistic https://t.co/fUDCM2zM7W""","text:""There are so many unexplored and interesting areas of Birmingham","even though I am a Brummie.. I love this car park entrance of crushed cars.. ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85820""}",Tweet_id:1236453736828096512,"created_at:""Sun Mar 08 00:48:37 +0000 2020""","rawtext:""#slashdot #interesting Elon Musk Wants To Build a New Starship Every 72 Hours https://t.co/eCnxPTeqZX""","text:""slashdot interesting Elon Musk Wants To Build a New Starship Every 72 Hours""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85821""}",Tweet_id:1236454690692292608,"created_at:""Sun Mar 08 00:52:25 +0000 2020""","rawtext:""@ReapersBrew @AtticusTrash @bombshell1331 @stillunknownpod @_TheHonorable1 @Larry112066 @ArmyVet109604 @tazisalady @MistyMa73367286 @xxReaperCrew @vkegnado @sick60sixxer @sfkaw69 @robinpappe @GemHasTea Omg this is so exciting. @ReapersBrew you just made my day! Congratulations to all of the other winners! Let the celebrations begin. _コ______ #soexcited https://t.co/FtELreccOg""","text:""Omg this is so exciting. you just made my day! Congratulations to all of the other winners! Let the celebrations begin. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85824""}",Tweet_id:1236456712489570305,"created_at:""Sun Mar 08 01:00:27 +0000 2020""","rawtext:""Today was a great day! @jewellabrielle found the perfect dress I can__ wait until April 4th _グ_グ #soexcited""","text:""Today was a great day! found the perfect dress I can not wait until April 4th ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85828""}",Tweet_id:1236461266564034560,"created_at:""Sun Mar 08 01:18:32 +0000 2020""","rawtext:""A reader took the effort to share each excerpt from The Rise of Venus that made her think and feel. Sharing them in this thread. #Grateful #Excited #EachforEqual https://t.co/wthHA1V0ut""","text:""A reader took the effort to share each excerpt from The Rise of Venus that made her think and feel. Sharing them in this thread. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85826""}",Tweet_id:1236459140547055616,"created_at:""Sun Mar 08 01:10:06 +0000 2020""","rawtext:""YouTuber Explains the Science Behind Tesla's Egg of Columbus: The Gelatinous Solid https://t.co/YENJvETxuE #Interesting #Engineering https://t.co/WUi8A1PyAF""","text:""YouTuber Explains the Science Behind Tesla's Egg of Columbus: The Gelatinous Solid ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85825""}",Tweet_id:1236458081447378944,"created_at:""Sun Mar 08 01:05:53 +0000 2020""","rawtext:""There are no clocks in Las Vegas gambling casinos. #interesting #didyouknow""","text:""There are no clocks in Las Vegas gambling casinos. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85829""}",Tweet_id:1236463166269382659,"created_at:""Sun Mar 08 01:26:05 +0000 2020""","rawtext:""Ahhh! It__ @JakeBugg day____ #SoExcited""","text:""Ahh! it is day ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8582c""}",Tweet_id:1236464053758742529,"created_at:""Sun Mar 08 01:29:37 +0000 2020""","rawtext:""@NZNationalParty @JacquiDeanMP @paulabennettmp @nikkikaye @JudithCollinsMP Is this the new Spy Girls lineup? #SoExcited #GirlPower https://t.co/TzpgaUpzIV""","text:""Is this the new Spy Girls lineup? ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8582d""}",Tweet_id:1236464315017752576,"created_at:""Sun Mar 08 01:30:39 +0000 2020""","rawtext:""Is that the new Spy Girls lineup? #SoExcited #GirlPower https://t.co/4BIATFid8i""","text:""Is that the new Spy Girls lineup? ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8582e""}",Tweet_id:1236464356650614784,"created_at:""Sun Mar 08 01:30:49 +0000 2020""","rawtext:""Make it rain!""","text:""Make it rain!""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8582f""}",Tweet_id:1236465637028847618,"created_at:""Sun Mar 08 01:35:54 +0000 2020""","rawtext:""One in three male motorists picks their nose while driving. #interesting #didyouknow""","text:""One in three male motorists picks their nose while driving. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85830""}",Tweet_id:1236467349248565248,"created_at:""Sun Mar 08 01:42:43 +0000 2020""","rawtext:""Travel__ with your loved ones and feel the real beauty of vaigai dam and collect memories capture the natural scenes with peaceful mind with full of #Excitement  For bookings call__ us on 7-999-222-000 https://t.co/pjoZBw4Aoa""","text:""Travel with your loved ones and feel the real beauty of vaigai dam and collect memories capture the natural scenes with peaceful mind with full of Excitement For bookings call us on 7-99-22-00""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85832""}",Tweet_id:1236469041058865153,"created_at:""Sun Mar 08 01:49:26 +0000 2020""","rawtext:""Can__ wait for the professional bull riding to start! Everyone here at the @enmaxcentre is pumped to see the action! #Showdown #professionalbullriding #soexcited #yql""","text:""can not wait for the professional bull riding to start! Everyone here at the is pumped to see the action! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85834""}",Tweet_id:1236470042281345024,"created_at:""Sun Mar 08 01:53:25 +0000 2020""","rawtext:""@shoaib100mph when are you going to give us some time for cricket with these children. They are all broken hearted children. They face every day and every struggle with a smile. And they love you!""","text:""when are you going to give us some time for cricket with these children. They are all broken hearted children. They face every day and every struggle with a smile. And they love you!""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85835""}",Tweet_id:1236470043614916609,"created_at:""Sun Mar 08 01:53:25 +0000 2020""","rawtext:""It's the weekend and Alfie is excited!! ___コ\n\n#lovelittlelives  #adoptdontshop #bunny #bunnies #rabbit #rabbits #rescuerabbit #ahutchisnotenough  #cute #rabbitwelfare #rabbitlove #loverabbits #rabbitsworldwide #bunnybuttfriday #saturday #weekend #weekendvibes #weekendfun #excited https://t.co/IZ3UHpH9eH""","text:""it is the weekend and Alfie is excited!! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85837""}",Tweet_id:1236471084511191041,"created_at:""Sun Mar 08 01:57:33 +0000 2020""","rawtext:""Happy International Women's Day_А\n#InternationalWomensDay2020\n#T20WorldCup #FillTheMCG \n##KatyPerry #NeverWornWhite \nSee you soon Katy!! #Soexcited_グ""","text:""Happy International Women's Day InternationalWomensDay2020 T20WorldCup FillTheMCG KatyPerry NeverWornWhite See you soon Katy!! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8583a""}",Tweet_id:1236474268491358208,"created_at:""Sun Mar 08 02:10:12 +0000 2020""","rawtext:""The dresses I didn__ choose__ #wedding #weddingdress #soexcited https://t.co/FrO2xueSwY""","text:""The dresses I did not choose ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85838""}",Tweet_id:1236472187898527744,"created_at:""Sun Mar 08 02:01:56 +0000 2020""","rawtext:""Out of idea where to go shopping during weekend? Let's find out what we have here in Tropicana Gardens Mall! \n\n#TGM #tropicanagardensmall #fashion #luxury #dining #foodandbeverage #entertainment #excitement #joy_ https://t.co/UYZT1SdsC5""","text:""Out of idea where to go shopping during weekend? let us find out what we have here in Tropicana Gardens Mall! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8583c""}",Tweet_id:1236474844230766593,"created_at:""Sun Mar 08 02:12:30 +0000 2020""","rawtext:""I want to date a dude from out of town #interesting""","text:""I want to date a dude from out of town ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8583d""}",Tweet_id:1236475315020615681,"created_at:""Sun Mar 08 02:14:22 +0000 2020""","rawtext:""#Interesting photos -  6 Mar 2020 - Flickr https://t.co/nBFtwtvIhu via Flickr #DigitalArt #Photo https://t.co/0w5cuR1dE4""","text:""Interesting photos - 6 Mar 2020 - Flickr via Flickr ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85839""}",Tweet_id:1236473193814097921,"created_at:""Sun Mar 08 02:05:56 +0000 2020""","rawtext:""A crocodile cannot stick its tongue out.  #interesting #didyouknow""","text:""A crocodile cannot stick its tongue out. ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8583f""}",Tweet_id:1236478338614489089,"created_at:""Sun Mar 08 02:26:23 +0000 2020""","rawtext:""______Perform #Every #Single #Pose With Excited #Escorts\nhttps://t.co/flRFt1IfVM\n#date #fun #love #Excited https://t.co/WbNItTMqt6""","text:""Perform Every Single Pose With Excited ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85844""}",Tweet_id:1236481105760567296,"created_at:""Sun Mar 08 02:37:22 +0000 2020""","rawtext:""Watching UFC #interesting""","text:""Watching UFC ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85843""}",Tweet_id:1236480733125865472,"created_at:""Sun Mar 08 02:35:54 +0000 2020""","rawtext:""McDonald's is the world's largest distributor of toys! #interesting #didyouknow""","text:""McDonald's is the world's largest distributor of toys! ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc85849""}",Tweet_id:1236482013215031297,"created_at:""Sun Mar 08 02:40:59 +0000 2020""","rawtext:""We go deep and talk about real shit for once this time...but don__ worry"," we always keep it #interesting.\n#podcast https://t.co/kfH7AUBGyb""","text:""We go deep and talk about real shit for once this time..but do not worry"," we always keep it ""}",,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8584d""}",Tweet_id:1236482296099647489,"created_at:""Sun Mar 08 02:42:06 +0000 2020""","rawtext:""RT today's thoughts...#writers #writingcommmunity #writerlife #poets #poetrycommunity #books #readers""","text:""RT today's thoughts..writers ""}",,,,,,,,,,
"{""_id"":{""$oid"":""5e6bf547b0d40b1f9dc8584c""}",Tweet_id:1236482059914207232,"created_at:""Sun Mar 08 02:41:10 +0000 2020""","rawtext:""my new tattoo im getting lower arm sleve covering my whole hand  in 4 weeks im #Excited #unique #thatsme https://t.co/GJ0yTUfsVq""","text:""my new tattoo I am getting lower arm sleve covering my whole hand in 4 weeks I am ""}",,,,,,,,,,
